Date,Close,High,Low,Open,Volume
11/20/1980,1.21760726,1.225241231,1.194705641,1.221424393,98550
11/21/1980,1.198522925,1.221424647,1.190889051,1.217607513,537975
11/24/1980,1.206156611,1.206156611,1.190888865,1.198522738,74250
11/25/1980,1.209973097,1.2214241,1.202339226,1.20615626,62100
11/26/1980,1.202338696,1.225240397,1.202338696,1.209972563,43200
11/28/1980,1.202338696,1.217606431,1.202338696,1.202338696,45900
12/1/1980,1.190888405,1.217606853,1.190888405,1.202339112,49950
12/2/1980,1.194704413,1.198521444,1.183253616,1.190887579,54675
12/3/1980,1.187070727,1.194704594,1.179436763,1.194704594,110025
12/4/1980,1.198522925,1.198522925,1.183255078,1.187072015,55350
12/5/1980,1.187070727,1.198521625,1.187070727,1.198521625,58725
12/8/1980,1.190888405,1.198522275,1.179437403,1.187071371,91125
12/9/1980,1.17943716,1.183254193,1.164169423,1.183254193,159300
12/10/1980,1.183253407,1.198521233,1.179436377,1.179436377,55350
12/11/1980,1.187070727,1.190887759,1.171802897,1.183253794,150525
12/12/1980,1.17943716,1.19088816,1.17943716,1.187071128,95175
12/15/1980,1.187070727,1.194704594,1.179436763,1.179436763,56025
12/16/1980,1.198522925,1.202339764,1.187072015,1.187072015,72900
12/17/1980,1.236691713,1.236691713,1.206156134,1.206156134,176850
12/18/1980,1.271043658,1.290128324,1.25959276,1.25959276,622350
12/19/1980,1.274861217,1.282495087,1.267227346,1.271044379,1289925
12/22/1980,1.293946743,1.293946743,1.278678896,1.278678896,322650
12/23/1980,1.271043658,1.301579222,1.271043658,1.293945356,230850
12/24/1980,1.27867794,1.27867794,1.263410203,1.271044072,217350
12/26/1980,1.274861217,1.27867825,1.274861217,1.27867825,18900
12/29/1980,1.274861217,1.286312121,1.263410509,1.274861217,141750
12/30/1980,1.274861217,1.274861217,1.255776638,1.274861217,319275
12/31/1980,1.301579833,1.301579833,1.267227222,1.274861092,146475
1/2/1981,1.309213519,1.316847388,1.293945781,1.30157965,263250
1/5/1981,1.385552764,1.393186733,1.320664567,1.320664567,192375
1/6/1981,1.36646831,1.385552891,1.355017307,1.385552891,110025
1/7/1981,1.328297734,1.328297734,1.28249434,1.328297734,450900
1/8/1981,1.34356606,1.347382896,1.32066416,1.328298127,239625
1/9/1981,1.389369726,1.400820532,1.339749372,1.343566405,569025
1/12/1981,1.427538991,1.43517286,1.400820253,1.400820253,711450
1/13/1981,1.435173154,1.458074765,1.427539283,1.427539283,226800
1/14/1981,1.446624756,1.465709441,1.431356811,1.435173846,459675
1/15/1981,1.473342061,1.480975929,1.45044036,1.45044036,720900
1/16/1981,1.477159977,1.515329436,1.46570907,1.473342943,1165725
1/19/1981,1.450439692,1.477158413,1.442805827,1.477158413,140400
1/20/1981,1.442806005,1.46952473,1.442806005,1.450439871,145125
1/21/1981,1.423723221,1.435174232,1.408455468,1.435174232,69525
1/22/1981,1.423723221,1.435174232,1.412272505,1.423723221,89100
1/23/1981,1.427538991,1.427538991,1.404637286,1.42372186,128925
1/26/1981,1.404638171,1.431356729,1.400821136,1.427539891,407700
1/27/1981,1.423723221,1.427540355,1.404638629,1.404638629,97200
1/28/1981,1.41227138,1.431356056,1.40463751,1.423722087,427950
1/29/1981,1.404638171,1.419905919,1.397004297,1.412272045,130950
1/30/1981,1.400820494,1.404637527,1.397003657,1.404637527,311175
2/2/1981,1.389369726,1.408454402,1.385552693,1.400820532,205200
2/3/1981,1.450439692,1.450439692,1.385551551,1.389368582,460350
2/4/1981,1.438989401,1.442806433,1.423721568,1.442806433,132300
2/5/1981,1.465708375,1.465708375,1.438989638,1.438989638,272025
2/6/1981,1.427538991,1.469525467,1.42372186,1.465708434,413775
2/9/1981,1.442806005,1.454256901,1.419904312,1.427538275,597375
2/10/1981,1.480976462,1.496244301,1.446624046,1.446624046,343575
2/11/1981,1.480976462,1.488610333,1.473342592,1.480976462,548775
2/12/1981,1.507695198,1.515329068,1.500061328,1.500061328,608175
2/13/1981,1.492428064,1.507695911,1.488611029,1.507695911,753300
2/17/1981,1.492428064,1.492428064,1.480977155,1.492428064,359775
2/18/1981,1.488610506,1.507695381,1.488610506,1.49242754,305775
2/19/1981,1.480976462,1.500061335,1.477159625,1.488610333,200475
2/20/1981,1.496244311,1.496244311,1.480976472,1.480976472,307800
2/23/1981,1.511512756,1.511512756,1.488611036,1.496245008,473850
2/24/1981,1.511512756,1.511512756,1.496245008,1.511512756,53325
2/25/1981,1.538230419,1.542047255,1.511511683,1.511511683,1222425
2/26/1981,1.549681783,1.549681783,1.542047715,1.542047715,344250
2/27/1981,1.542047381,1.557315316,1.538230545,1.549681447,257175
3/2/1981,1.534413338,1.542047206,1.526779371,1.542047206,132300
